sentence1Text,sentence2Text,mergedText
"Despite reports last week that said Gary Ross would definitely not be returning to direct The Hunger Games sequel, Catching Fire, it seems he will be back at the negotiating table with Lionsgate this week.","According to THR, Ross will resume negotiating with Lionsgate about returning for the ""Games"" sequel ""Catching Fire"" at some point on Monday.","Despite reports last week that said Gary Ross would definitely not be returning to direct The Hunger Games sequel, Catching Fire, it seems he will be back at the negotiating table with Lionsgate at some point on Monday, according to THR."
Egypt and Saudi Arabia encouraged Syria to withdraw its troops by the U.N. deadline of April 30.,Egypt and Saudi Arabia are trying to persuade Syria to accept a timetable for withdrawal of its troops.,Egypt and Saudi Arabia encouraged Syria to withdraw its troops by the U.N. deadline of April 30.
"Dan Patrick reported on his show on AM 570 that the Boston Red Sox have made first baseman Mark Teixeira an eight-year, $200 million offer.","The Red Sox have made an eight-year offer to Teixeira in excess of $160 million, but sources close to the negotiations say it is less than the $184 million reported by Boston WCVB sportscaster Mike Lynch, who first reported that the meeting would take place.","The Red Sox have made an eight-year $200 million offer to first baseman Mark Teixeira, Dan Patrick reported on his show on AM 570, but sources close to the negotiations say it is less than the $184 million reported by Boston WCVB sportscaster Mike Lynch, who first reported that the meeting would take place."
Agent Orange was sprayed on jungles by US planes for 10 years to strip away cover from North Vietnamese troops.,"The U.S. sprayed 19 million gallons of the defoliant Agent Orange (containing dioxin) over South Vietnam from 1962 to 1971, exposing two million Vietnamese and 2.1 million U.S. military.  ","The U.S. sprayed 19 million gallons of the defoliant Agent Orange (containing dioxin) over jungles by planes in South Vietnam, to strip away cover from North Vietnamese troops from 1962 to 1971, exposing two million Vietnamese and 2.1 million U.S. military."
The giant panda is one of the world's most endangered species with about 1500 living in the wild in China.,"The giant panda population of China, which dwindled to approximately 1100 in the 1980's, has slowly increased to approximately 1890 in the wild.  ","The giant panda population of China, one of the world's most endangered species, which dwindled to approximately 1100 in the 1980's, has slowly increased to approximately 1890 in the wild."
"A bomb explosion at a bank killed a police officer and a state bomb disposal technician, and state police did not have any suspects, officials said Saturday.","An explosion at a bank killed a police officer and a state bomb disposal technician, officials said Saturday, offering a $35,000 reward for information leading to an arrest and conviction in the case.","A bomb explosion at a bank killed a police officer and a state bomb disposal technician, and state police did not have any suspects, officials said Saturday, offering a $35,000 reward for information leading to an arrest and conviction in the case."
"Occasional bombs continued to damage railways, power lines and buildings with no casualties.",In late April armed commandos were sent to guard trains and railroad stations in Baluchistan after railroad tracks had been bombed.,"In late April armed commandos were sent to guard trains and railroad stations in Baluchistan after railroad tracks, power lines and buildings had been bombed occasionally, with no casualties."
Hansbrough scored 20 points last night to break the storied program's career scoring record and help the Tar Heels (10-0) remain unbeaten with a 91-73 victory over visiting Evansville (7-2).,Tyler Hansbrough scored 20 points to break North Carolina's career scoring record and help the top-ranked Tar Heels remain unbeaten with a 91-73 victory over Evansville on Thursday night.,Tyler Hansbrough scored 20 points to break North Carolina's career scoring record and help the top-ranked Tar Heels (10-0) remain unbeaten with a 91-73 victory over Evansville (7-2) on Thursday night.
The victims' financial ruin and emotional distress has led to classifying identity theft a crime.,The new Identity Theft and Assumption Deterrence Act of 1998 makes the crime a felony punishable by up to 15 years in prison.,"The victims' financial ruin and emotional distress has led to classifying identity theft a felony, punishable by up to 15 years in prison, via the Identity Theft and Assumption Deterrence Act of 1998."
A UN report criticized Lebanon authorities' commitment to an investigation.,"A U.N. team investigating the murder completed their assignment on 16 March, the later report in New York stating another independent investigation was needed inasmuch as there was a lack of commitment by Lebanese authorities to solve the crime.  ","A U.N. team investigating the murder completed their assignment on 16 March, the later report in New York stating another independent investigation was needed inasmuch as there was a lack of commitment by Lebanese authorities to solve the crime."
Chiefs lose 20-13 to Colts despite Charles ’ 226 yards rushing,"On a day when the Kansas City Chiefs rushed for the 3rd-most yards in franchise history and the defense played well for 55 minutes of the game, the Chiefs lost to the Indianapolis Colts, 20-13, and kept their grip on the #1 pick in the 2013 NFL Draft.","On a day when the Kansas City Chiefs rushed for the 3rd-most yards in franchise history, with Charles rushing 226 yards, and the defense played well for 55 minutes of the game, the Chiefs lost to the Indianapolis Colts, 20-13, and kept their grip on the #1 pick in the 2013 NFL Draft."
Canada passed landmark legislation to legalize gay marriage everywhere in the country.,"Canada's House of Commons passed landmark legislation Tuesday to legalize gay marriage, granting same-sex couples legal rights equal to those in traditional unions between a man and a woman.","Canada's House of Commons passed landmark legislation Tuesday to legalize gay marriage everywhere in the country, granting same-sex couples legal rights equal to those in traditional unions between a man and a woman."
"Yushchenko won a repeat runoff on December 26 and took office in January, his face still disfigured by the poison.",Repeat election held December 26,"Yushchenko won a repeat runoff on December 26 and took office in January, his face still disfigured by the poison."
"After Libby's indictment, reporter Bob Woodward told Special Prosecutor Patrick Fitzgerald that about one month before Valerie Plame's identity was exposed, he had learned it from another Bush administration official (not Libby).",The Special Counsel disputes that claim.,"Special Prosecutor Patrick Fitzgerald disputes that after Libby's indictment, reporter Bob Woodward told him that about one month before Valerie Plame's identity was exposed, he had learned it from another Bush administration official (not Libby)."
"Tyler Hansbrough scored 20 Thursday night to break North Carolina's career scoring record and help the No. 1 Tar Heels remain unbeaten with a 91-73 victory over Evansville in Chapel Hill, N.C.",Tyler Hansbrough scored 20 points to break North Carolina's career scoring record and help the top-ranked Tar Heels remain unbeaten with a 91-73 victory over Evansville on Thursday night.,"Tyler Hansbrough scored 20 Thursday night to break North Carolina's career scoring record and help the No. 1 Tar Heels remain unbeaten with a 91-73 victory over Evansville in Chapel Hill, N.C."
Man charged with arson over Waitrose fire in Wellington,A man has been charged on suspicion of arson following a fire that devastated a Somerset supermarket.,"A man has been charged on suspicion of arson following a fire that devastated a Wellington, Somerset Waitrose supermarket."
Sox Make Offer To Teixeira (8 Years?),"The Red Sox have made an eight-year offer to Teixeira in excess of $160 million, but sources close to the negotiations say it is less than the $184 million reported by Boston WCVB sportscaster Mike Lynch, who first reported that the meeting would take place.","The Red Sox have made an eight-year offer to Teixeira in excess of $160 million, but sources close to the negotiations say it is less than the $184 million reported by Boston WCVB sportscaster Mike Lynch, who first reported that the meeting would take place."
The indictment alleges that Libby's conversation with Russert was not about Plame's identity.,"At least seven Bush administration officials outside the CIA knew Valerie Plame was a CIA employee before the disclosure of her name in a newspaper column in July 2003, according to Friday's indictment of I. Lewis ""Scooter"" Libby.","At least seven Bush administration officials outside the CIA knew Valerie Plame was a CIA employee before the disclosure of her name in a newspaper column in July 2003, according to Friday's indictment of I. Lewis ""Scooter"" Libby alleging that Libby's conversation with Russert was not about Plame's identity."
"A Texas inmate escaped from a prison van near Houston after pulling a gun on two guards who were transporting him between prisons, according to a Texas prison statement Monday.","TDCJ officials could answer few questions about how convicted rapist Arcade Joseph Comeaux Jr., 49, escaped Monday from a prison van in Baytown after pulling a gun and handcuffing two transport officers, stealing their three guns and walking away.","Texas DCJ officials could answer few questions about how convicted rapist Arcade Joseph Comeaux Jr., 49, escaped Monday from a prison van in Baytown, near Houston, after pulling a gun and handcuffing two transport officers who were transporting him between prisons, stealing their three guns and walking away."
"""In fact, we saw that in sign language in particular, sometimes the sign for ""not,"" which is usually signed with the hand, was omitted, and that facial expression of negation was used instead,"" Martinez said.","What's more, the researchers discovered that ASL speakers sometimes make the ""not face"" instead of signing the word ""not""--a use of facial expression in ASL that was previously undocumented.","""In fact, we saw that in sign language in particular, sometimes the sign for ""not,"" which is usually signed with the hand, was omitted, and that facial expression of negation was used instead,"" Martinez said, a use of the ""not face"" facial expression in ASL speakers that was previously undocumented."
"It's been a long time coming, but Tara Reid has finally entered Malibu Promises Treatment Center on Tuesday, her rep told People.com.",The specific reason behind her checking in to the facility is currently unknown to the public.,"It's been a long time coming, but Tara Reid has finally entered Malibu Promises Treatment Center on Tuesday, her rep told People.com, with the specific reason behind checking in currently unknown to the public."
"The tsunami killed more than 163,000 people in 11 countries with thousands still missing.","The December 26 tsunamis killed more than 163,000 people along Indian Ocean coastlines and left thousands more missing.","The December 26 tsunamis killed more than 163,000 people in 11 countries along Indian Ocean coastlines and left thousands more missing."
"The mother of a 10-year-old girl killed by a stray bullet on an Albany street last year said she heard a loud sound before her daughter cried out ``Mommy, mommy, I've been hit,'' and then stumbled down the steps of their apartment.","Last May, a stray bullet killed 10-year-old Kathina Thomas as she played on the front steps of her home on Albany's First Street","The mother of a 10-year-old girl killed by a stray bullet on Albany's First Street last year said she heard a loud sound before her daughter, Kathina Thomas, cried out ``Mommy, mommy, I've been hit,'' and then stumbled down the steps of their apartment."
"On May 23, 2005 sports newspaper L'Equip reported Armstrong illegally used erythropoietin for the 1999 Tour de France, based on urine samples examined outside World Anti-Doping Agency protocols, but linked to Armstrong by L'Equip, in violation of WADA anonymity rules.",Armstrong said that contradicts WADA's own drug testing policy.,"On May 23, 2005 sports newspaper L'Equip reported Armstrong illegally used erythropoietin for the 1999 Tour de France, based on urine samples examined outside World Anti-Doping Agency protocols, but linked to Armstrong by L'Equip, in violation of WADA anonymity rules, and Armstrong said this contradicts the agency’s own drug testing policy."
"Canada's House of Commons passed legislation that would legalize gay marriage by the end of July as long as the Senate also passes the bill, which it is expected to do.","Canada's House of Commons passed landmark legislation Tuesday to legalize gay marriage, granting same-sex couples legal rights equal to those in traditional unions between a man and a woman.","Canada's House of Commons passed landmark legislation Tuesday to legalize gay marriage by the end of July as long as the Senate also passes the bill, which it is expected to do, granting same-sex couples legal rights equal to those in traditional unions between a man and a woman."
"Under a Pentagon directive, bans on cell phone use while driving are becoming common on military bases.",The Defense Department approved restrictions on cell phone use by motorists but left it for the military services and individual bases to decide how to enforce it.,"The Defense Department approved restrictions on cell phone use by motorists under a Pentagon directive, making bans more common on military bases, but left it for the military services and individual bases to decide how to enforce it."
"""Coffee has a lot of different biological effects and several of them seem like they might be relevant for prostate cancer,"" says the lead author of the study, which tracked nearly 50,000 men over 20 years, notes CNN.","""Coffee has a lot of different biological effects and several of them seem like they might be relevant for prostate cancer,"" says the lead author of the study, Kathryn Wilson, a research fellow in epidemiology at the Harvard School of Public Health, in Boston, Massachusetts.","""Coffee has a lot of different biological effects and several of them seem like they might be relevant for prostate cancer,"" says Kathryn Wilson, a research fellow in epidemiology at the Harvard School of Public Health, in Boston, Massachusetts and lead author of the study which tracked nearly 50,000 men over 20 years, notes CNN."
"Their decline is attributed to over-harvesting, pollution, and two parasites appearing in the 1960's, one brought by Asian oysters.","Chesapeake Bay oysters have almost vanished because of pollution, over harvesting, and two parasites.  ","Chesapeake Bay oysters have almost vanished, their decline attributed to over-harvesting, pollution, and two parasites appearing in the 1960s, one brought by Asian oysters."
"And the charges against Tseng for the deaths of 21-year-old Joey Rovero, 25-year-old Steven Ogle, and 28-year-old Vu Nguyen weren't the first red flags: Three other young men had ODed in 2007 and 2008 after she supplied them with prescriptions from her strip-mall clinic, the prosecution noted-and they drove a long way to get to her, with one of the victims making a two-hour round trip.",The young men each drove long distances to come to Tseng's strip mall clinic for prescriptions.,"And the charges against Tseng for the deaths of 21-year-old Joey Rovero, 25-year-old Steven Ogle, and 28-year-old Vu Nguyen weren't the first red flags: Three other young men had ODed in 2007 and 2008 after she supplied them with prescriptions from her strip-mall clinic, the prosecution noted-and they each drove a long way to get to her, with one of the victims making a two-hour round trip."
"Staff at Leak & Sons Funeral Home quickly shuffled Williams into the body-prep room and showed her three other deceased women, per CBS-Williams tells the Chicago Sun-Times they put her mom's dress on at least one of the bodies-but none of them was Rutledge.",She said staff at the funeral home began to show her other bodies - and put her mother's dress on at least one other corpse - in a frantic attempt to find Rutledge's remains.,"Staff at Leak & Sons Funeral Home quickly shuffled Williams into the body-prep room and showed her three other deceased women, per CBS-Williams tells the Chicago Sun-Times they put her mom's dress on at least one of the bodies in a frantic attempt to find Rutledge's remains-but none of them was her."
"Seismic activity beginning on Sept. 23, 2004 released more energy than at any time since 1980 and on October 1 the volcano burped a tall column of steam and ash.  ","Beginning September 23, 2004, building pressures caused several earthquakes per minute (up to strength 3.3) on Mt. St. Helens in SW Washington.","Seismic activity beginning September 23, 2004, released more energy than at any time since 1980 on Mt. St. Helens in SW Washington, with building pressures causing several earthquakes per minute (up to strength 3.3) and the volcano burping a tall column of steam and ash on October 1."
"Police intervened after more than 100 people joined together for a candlelit vigil in the East Flatbush neighborhood in Brooklyn, New York, where 16-year-old Kimani Gray was shot multiple times by police on Saturday.",Two plainclothes NYPD officers shot and killed a 16-year-old Brooklyn resident after police say he pointed a gun at officers on Saturday,"Police intervened after more than 100 people joined together for a candlelit vigil in the East Flatbush neighborhood in Brooklyn, New York, where a 16-year-old resident, Kimani Gray, was shot multiple times and killed by two plainclothes NYPD officers on Saturday after police say he pointed a gun at officers."
A smash-and-grab on a high end Paris store saw four robbers make off with jewelry and watches valued at over $2.6 million early Monday.,"After scooping up jewelry and watches estimated to be worth 2 million euros ($2.6 million) the thieves reversed their car out of the store and set fire to it before making off in another vehicle, Le Monde reported.","After scooping up jewelry and watches estimated to be worth over 2 million euros ($2.6 million) in a smash-and-grab on a high end Paris store early Monday, the four thieves reversed their car out of the store and set fire to it before making off in another vehicle, Le Monde reported."
Prosecutors claim Gray died from a spinal injury while in the back of a police van.,Prosecutors say Porter failed to call for a medic after Gray said he needed one and the officer didn't buckle Gray into a seat belt when he was riding in the back of a police wagon.,"Prosecutors say Porter failed to call for a medic after Gray said he needed one and the officer didn't buckle Gray into a seat belt when he was riding in the back of a police wagon, where Gray died from a spinal injury."
"In early September, 1999, authorities worried about the growth of Hurricane Floyd as they tracked its movements from the Atlantic toward the U.S. coast.  ",Moving away from the Caribbean's Leeward Islands toward Florida,"In early September, 1999, authorities worried about the growth of Hurricane Floyd as they tracked its movements from the Caribbean's Leeward Islands toward Florida."
"And so were the two women she's accused of gunning down with a .357 Magnum, just minutes after she'd been suspended and escorted from the building.","Minutes after a woman was suspended and escorted from her job at the Kraft Foods plant in Northeast Philadelphia, she returned with a .357 Magnum and opened fire, killing two women and critically injuring a third co-worker before being taken into custody, police said.","Minutes after a woman was suspended and escorted from her job at the Kraft Foods plant in Northeast Philadelphia, she returned with a .357 Magnum and opened fire, killing two women and critically injuring a third co-worker before being taken into custody, police said."
"A source familiar with the investigation told The Times that Onuoha is the same agent who was suspended after he criticized the daughter of Mark Frauenfelder, founder of the blog Boing Boing.","The former TSA agent arrested late Tuesday in connection with ""unspecified threats"" related to the anniversary of the 9/11 attacks was also involved in a high-profile incident in which he allegedly shamed a 15-year-old girl for her attire, a law enforcement official told the Los Angeles Times.","Onuoha, nhe former TSA agent arrested late Tuesday in connection with ""unspecified threats"" related to the anniversary of the 9/11 attacks was also involved in a high-profile incident in which he allegedly shamed 15-year-old daughter of Mark Frauenfelder, founder of the blog Boing Boing for her attire, a law enforcement official told the Los Angeles Times."
Microsoft released an emergency software fix for Internet Explorer on Tuesday after hackers exploited a security flaw in the popular Web browser to attack an unknown number of users.,"That happened last week as scheduled, but today the company announced it has rushed out an additional patch designed to fix an exploit that has been found in Internet Explorer, and is being used in attacks on IE8 and IE9.","That happened last week as scheduled, but today Microsoft announced it has rushed out an additional patch designed to fix an exploit that has been found in Internet Explorer after hackers exploited a security flaw to attack an unknown number of users, and is being used in attacks on IE8 and IE9."
"""Individuals need to be educated regarding certain risky behaviors and risky places where selfies should not be taken.""",This is based on analyzing the location service and identifying a risky and unsafe location.,"This is based on analyzing the location service and identifying a risky and unsafe location ""...where selfies should not be taken"" on which ""individuals need to be educated."""
"In Antarctica and the Artic, ice melts are causing complex questions about the impact of global warming.","Zhang Zhanhai, director of Polar Research Institute of China, said that the melting rate of Arctic ice is ""alarming"" -- with the ice area shrinking by 10 percent and the thickness by 42 percent over the past 30 years.","Zhang Zhanhai, director of Polar Research Institute of China, said that the melting rate of Arctic ice, which is causing complex questions about the impact of global warming, is ""alarming"" -- with the ice area shrinking by 10 percent and the thickness by 42 percent over the past 30 years."
Peyton Manning passed for 364 yards and three touchdowns and Keiwan Ratliff returned an interception 35-yards for a pick-six with just under five minutes left to carry the Indianapolis Colts over the Jacksonville Jaguars 31-24 Thursday night.,Peyton Manning helped inspire the Indianapolis Colts to their eighth straight win of the season as they overcame Jacksonville 31-24 on Thursday to reach the play-offs.,"Peyton Manning passed for 364 yards and three touchdowns and Keiwan Ratliff returned an interception 35-yards for a pick-six with just under five minutes left, helping to inspire the Indianapolis Colts to their eighth straight win of the season as they overcame Jacksonville 31-24 on Thursday to reach the play-offs."
"In the US only New York, New Jersey and the District of Columbia completely ban hand-held phone use.",Chicago City Council approved an ordinance making it illegal to use a hand-held cell phone while driving.,"In the US, only New York, New Jersey, the District of Columbia, and now the Chicago City Council have approved an ordinance making it illegal to use a hand-held cell phone while driving."
"After Najee Rivera was given a beating that left him with a fractured bone in his face and one eye swollen shut, girlfriend Dina Scannapieco canvassed businesses in the area and found security footage that led to Rivera's exoneration on charges of assault and resisting arrest and to the arrest of the two officers involved, the Philadelphia Inquirer reports.","In Philadelphia, charges came after the surprise emergence of a surveillance video that shows two officers pummeling a scooter rider.","After scooter rider Najee Rivera was given a beating that left him with a fractured bone in his face and one eye swollen shut, girlfriend Dina Scannapieco canvassed businesses in the area and found security footage that led to Rivera's exoneration on charges of assault and resisting arrest and to the arrest and charges of the two officers involved, the Philadelphia Inquirer reports."
"Cuomo also alluded to the simultaneous search efforts in Dannemora, the tiny village in the shadow of the 170-year-old Clinton Correctional Facility, where police set to searching homes, and in Willsboro, where a tip prompted a mass search through forests and fields.","Police were resuming house-to-house searches near the maximum-security prison in northern New York where David Sweat and Richard Matt , two killers escaped using power tools.","Cuomo also alluded to the simultaneous search efforts in Dannemora, the tiny village in the shadow of the 170-year-old Clinton Correctional Facility, the maximum-security prison in northern New York, where police set to searching homes, and in Willsboro, where a tip prompted a mass search through forests and fields for David Sweat and Richard Matt , two killers who escaped using power tools."
"Spencer has not returned calls from CNN, but told the Atlanta Journal-Constitution the Showtime series got him to participate by taking advantage of his fears that he or his family would be attacked -- fears sparked by death threats he says he received after he proposed legislation barring Muslim women from wearing burqas in public.","Spencer told The Atlanta Journal-Constitution last week that he was considering legal action against the show's producers, and he claimed they ""took advantage of my fears that I would be attacked by someone"" to persuade him to appear.","Spencer has not returned calls from CNN, but told the Atlanta Journal-Constitution last week that he was considering legal action against the Showtime series' producers, claiming they got him to participate by taking advantage of his fears that he or his family would be attacked -- fears sparked by death threats he says he received after he proposed legislation barring Muslim women from wearing burqas in public."
The woman who allegedly shot and killed two co-workers in September at the Kraft Foods plant in Northeast Philadelphia will face trial on multiple counts of murder and attempted murder.,"KYW’s Pat Loeb reports that the shooting took place just after 8:30pm Thursday night inside the old Nabisco factory, along the 12000 block of Roosevelt Boulevard, at Woodhaven Road.","The woman who allegedly shot and killed two co-workers just after 8:30pm, Thursday night, reports KYW's Pat Loeb, in September at the Kraft Foods plant in Northeast Philadelphia, along the 12000 block of Roosevelt Boulevard, at Woodhaven Road, will face trial on multiple counts of murder and attempted murder."
Hansbrough scored 20 points last night to break the storied program's career scoring record and help the Tar Heels (10-0) remain unbeaten with a 91-73 victory over visiting Evansville (7-2).,He set the record by muscling in a bank shot over two defenders with 7:41 to go.,Hansbrough muscled in a bank shot over two defenders with 7:41 to go and scored 20 points last night to break the storied program's career scoring record and help the Tar Heels (10-0) remain unbeaten with a 91-73 victory over visiting Evansville (7-2).
But the lawsuit claims that Lissabet was not fitted in the suit properly and she ended up with severe brain damage after her head repeatedly hit the floor.,The Herald reported that in a Colorado case where a woman claimed she suffered severe brain damage while in the suit and was awarded $2 million in damages by a jury.,The Herald reported that in a Colorado case where Lissabet claimed she suffered severe brain damage while in the suit that was not fitted properly after her head repeatedly hit the floor and was awarded $2 million in damages by a jury.
Creighton (25-7) will play the winner of Friday's second semifinal between Evansville and Indiana State.,"In Saturday's semifinals, Creighton (25-7) will play No. 5 seed Indiana State, which defeated Evansville 51-50 on Friday.","In Saturday's semifinals, Creighton (25-7) will play No. 5 seed Indiana State, which defeated Evansville 51-50 in Friday's second semifinal."
"On May 4 the judge abruptly tossed out England's guilty plea, declared a mistrial, dismissed the jury, and referred matters back to Lt.","The judge rejected England's guilty plea, telling her, ""If you don't believe you're guilty and you honestly believe you were doing what Graner told you to do, you can't plead guilty.""","The judge rejected England's guilty plea May 4, declared a mistrial, dismissed the jury, and referred matters back to Lt., telling England, ""If you don't believe you're guilty and you honestly believe you were doing what Graner told you to do, you can't plead guilty."""
"As for the new tick, it's been spotted in New York, New Jersey, North Carolina, Pennsylvania, Virginia, West Virginia, and Arkansas.",It has been found in seven states and in the heavily populated suburbs of New York City.,"As for the new tick, it's been spotted in New Jersey, North Carolina, Pennsylvania, Virginia, West Virginia, Arkansas, New York and its heavily populated suburbs of New York City."
"Parliamentary elections in Turkmenistan which are planned for December 15, 2013, will be held on a two-party basis, a message from the Central Commission for Elections and Referenda of Turkmenistan said.",Turkmenistan to hold first-ever parliamentary elections on a two-party basis,"Parliamentary elections in Turkmenistan which are planned for December 15, 2013, will be held on a two-party basis for the first time ever, a message from the Central Commission for Elections and Referenda of Turkmenistan said."
"A Woodburn police officer and state police bomb squad technician were killed, while the city's police chief remained in critical condition after a bomb exploded late Friday at a Woodburn bank.",A bomb exploded at an Oregon bank in Woodburn late Friday killing a police officer and a bomb technician.,"A Woodburn police officer and state police bomb squad technician were killed, while the city's police chief remained in critical condition after a bomb exploded late Friday at a Woodburn, Oregon bank."
"But Columbia University law professor Katherine Franke says the letter is likely unconstitutional because it restricts speech in two ways: limiting what couples can say and requiring them to sign, the Dallas Observer reports.","Katherine Franke, the director of the Public Rights/Private Conscience Project at Columbia University's law school, says that what DePiazza is doing - specifically in making marriage seekers sign the letter - is probably unconstitutional.","But the director of the Public Rights/Private Conscience Project at Columbia University and law professor Katherine Franke says what DePiazza is doing with the letter is likely unconstitutional because it restricts speech in two ways: limiting what couples can say and requiring them to sign, the Dallas Observer reports."
"Oscar winner Diane Keaton is defending Woody Allen as he faces renewed criticism stemming from an accusation by his adopted daughter, Dylan Farrow, that he sexually molested her when she was a child in 1992.","This comes after Oscar-winning Annie Hall star Keaton posted a video of a segment of Steve Kroft interviewing Allen in 1992 as he defended himself against Mia Farrow's accusations that he molested Dylan Farrow, who was at the time seven years old.","This comes after Oscar-winning Annie Hall star Diane Keaton posted a video of a segment of Steve Kroft interviewing Allen in 1992 as he defended himself against Mia and Dylan Farrow's accusations that he molested Dylan Farrow, his adopted daughter, who was at the time seven years old."
"The United Nations was encouraged by the talks its envoy had with Syria's president on the Security Council call for Syria to end its involvement in Lebanon, the U.N. said in a statement Monday.","Terje Roed-Larsen, the UN secretary general's envoy for Lebanon, is to meet Syria's President Bashir Al-Assad in Damascus on Sunday to discuss the Syrian withdrawal and the UN resolution.","The United Nations was encouraged by the talks its envoy, Terje Roed-Larsen, had with Syria's president, Bashir Al-Assad, in Damascus on Sunday on the Security Council call for Syria to end its involvement in Lebanon, the U.N. said in a statement Monday."
Michael Schiavo's legal battle to have his long-comatose wife Terri's feeding tube removed against her parents' wishes began in 1993.,"Fifteen years to the day after Terri Schiavo suffered severe brain damage, leaving her in a persistent vegetative state, a judge on Friday ordered that the feeding tube keeping her alive be removed in three weeks.","Fifteen years to the day after Terri Schiavo suffered severe brain damage, leaving her in a persistent vegetative state, her husband Michael's legal battle that began in 1993 to have her feeding tube removed against her parents' wishes ended when a judge on Friday ordered that the feeding tube keeping her alive be removed in three weeks."
"Home fashion guru Martha Stewart said on Friday that she has adjusted to prison life and is keeping busy behind bars since reporting a week ago to a federal penal camp in West Virginia, where she is serving a five-month sentence for lying about a stock sale.","Martha Stewart has been exercising, reading and making friends in prison, but the food at the minimum-security prison camp in West Virginia is ""terrible,"" the domestic diva's daughter said Friday.","Home fashion guru Martha Stewart said on Friday that she has adjusted to prison life and is keeping busy behind bars by exercising, reading and making friends since reporting a week ago to a minimum-security federal penal camp in West Virginia, where she is serving a five-month sentence for lying about a stock sale, but the food is ""terrible,"" the domestic diva's daughter said."
"Yesterday in Los Angeles, pin-up icon Bettie Page succumbed to complications from a heart attack suffered almost three weeks ago.","Pinup icon Bettie Page died Thursday evening at a hospital in Los Angeles after having suffered a heart attack on Dec. 2 and spending time on life support, according to her official site.","Pinup icon Bettie Page died Thursday evening at a hospital in Los Angeles, succumbing to complications after having suffered a heart attack on Dec. 2 and spending time on life support, according to her official site."
Her boyfriend Jason Zailo and another friend discovered the body in an upstairs bedroom.,"The 24-year-old realtor was stabbed to death in a Saanich show home on Feb. 2, 2008.","The 24-year-old realtor's boyfriend, Jason Zailo, and another friend, discovered her body stabbed to death in an upstairs bedroom of a Saanich show home on Feb. 2, 2008.."
"He claims he and the woman are ""co-parenting"" the child together.","Single father, I hate when I hear it / I used to challenge my parents on every album / Now I'm embarrassed to tell them I ended up as a co-parent / Always promised the family unit / I wanted it to be different because I've been through it / But this is the harsh truth now.","Single father, I hate when I hear it / I used to challenge my parents on every album / Now I'm embarrassed to tell them I ended up as a co-parent / Always promised the family unit / I wanted it to be different because I've been through it / But this is the harsh truth now."
"The blast at the outdoor market took place in the morning when the venue was packed with vendors and customers, seemingly calculated to claim a large number of civilian casualties.",The Islamic State claimed responsibility for the explosion that killed at least 39 in a crowded market.,"The blast at the outdoor market for which the Islamic State claimed responsibility, took place in the morning when the venue was packed with vendors and customers, seemingly calculated to claim a large number of civilian casualties, killing at least 39."
India's first unmanned moon mission planned for 2007-08 will carry three European payloads for conducting various experiments relating to the lunar surface.,"India's first unmanned spacecraft will carry three European payloads on its journey to the moon, scheduled for 2007, to be used in experiments on the lunar surface, the head of the country's space programme said Monday.","India's first unmanned spacecraft will carry three European payloads on its journey to the moon, scheduled for 2007-08, to be used in experiments on the lunar surface, the head of the country's space programme said Monday."
Rosa and another firefighter were struck by gunfire while responding to reports of an explosion at a downtown Long Beach high-rise.,Rosa and other firefighters were shot at while responding to a fire call early Monday morning.,Rosa and other firefighters were struck by gunfire while responding to reports of an explosion at a downtown Long Beach high-rise early Monday morning.
"Though it notes Amazon already partners with grocers and restaurants for food deliveries, the Wall Street Journal adds this latest move could target ""major grocers racing to offer deliveries and pickups to better compete with Amazon,"" as well as online delivery services like Instacart.",Already Amazon pairs with grocer Sprouts Farmers Market Inc. and other outside retailers and restaurants in some markets to offer speedy deliveries.,"Though it notes Amazon already partners with grocers like Sprouts Farmers Market Inc. and other outside retailers and restaurants for food deliveries, the Wall Street Journal adds this latest move could target ""major grocers racing to offer deliveries and pickups to better compete with Amazon,"" as well as online delivery services like Instacart."
"A powerful earthquake has hit southern Iran, destroying several villages and killing at least three people and injuring others, according to reports.","A powerful earthquake hit southern Iran on Sunday, causing major destruction in seven villages and killing 10 people and injuring 80.","A powerful earthquake hit southern Iran on Sunday, causing major destruction in seven villages and killing 10 people and injuring 80, according to reports."
Theories abound surrounding Yushchenko's poisoning.,Speculation grew on who poisoned Victor Yushchenko.,Speculation grew on who poisoned Victor Yushchenko.
"A fire that ripped through a Waitrose store in Surrey is being treated as ``potentially suspicious'', police said.",Police are treating a fire which has destroyed a Waitrose supermarket in Banstead in Surrey as ``potentially suspicious''.,Police are treating a fire which has destroyed a Waitrose supermarket in Banstead in Surrey as ``potentially suspicious''.
"Two possible gang members were arrested in the fatal shooting of a sheriff's deputy who was murdered as he was gettingready to go to work, officials announced Saturday.",Two male gang members whose names remain unreleased were arrested last night in the case of the murder of Los Angeles County Sheriff's Deputy Juan Abel Escalante which took place outside his Cypress Park home this August 2nd as he prepared to leave for work.,Two male gang members whose names remain unreleased were arrested last night in the case of the murder of Los Angeles County Sheriff's Deputy Juan Abel Escalante whose fatal shooting took place outside his Cypress Park home this August 2nd as he prepared to leave for work.
